Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
Inspector2,0.320356,0.676765,,,,,,,,,,,,,,,,
Worker1,0.573874,0.423247,,,,,,,,,,,,,,,,
Worker2,0.939051,0.05807,,,,,,,,,,,,,,,,
Worker3,0.717796,0.279325,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.256751,,,,,,,,,,,,,,,,,
C1-2,0.790328,,,,,,,,,,,,,,,,,
C1-3,0.129192,,,,,,,,,,,,,,,,,
C2-2,0.074431,,,,,,,,,,,,,,,,,
C3-3,1.553535,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 13,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.625518,#NAME?,0.625518,#NAME?,,,,,,,,,,,,
